"Album","RowID","Track","TrackID","RateCount","Path","ELO","Artist"
"Kerplunk!","1","80","41480","0","D:\Music\Music\Green Day\Kerplunk!\08 80.m4a","1600","Green Day"
"Inside Of Emptiness","2","666","41481","0","D:\Music\Music\John Frusciante\Inside Of Emptiness\08 666.m4a","1600","John Frusciante"
"Triple J Hottest 100, Vol. 05","3","6 Underground","41482","0","D:\Music\Music\Compilations\Triple J Hottest 100, Vol. 05\2-15 6 Underground.m4a","1600","Sneaker Pimps"
"1,039/Smoothed Out Slappy Hours","4","409 In Your Coffee Maker","41483","0","D:\Music\Music\Green Day\1,039_Smoothed Out Slappy Hours\13 409 In Your Coffee Maker.m4a","1600","Green Day"
"Come What(ever) May","5","30/30-150","41484","0","D:\Music\Music\Stone Sour\Come What(ever) May\01 30_30-150.m4a","1600","Stone Sour"
"The Riddle Box","6","3 Rings","41485","0","D:\Music\Music\Insane Clown Posse\The Riddle Box\08 3 Rings.m4a","1600","Insane Clown Posse"
"Sing-A-Longs & Lullabies for the Film Curious George","7","The 3 R's","41486","0","D:\Music\Music\Jack Johnson\Sing-A-Longs & Lullabies for the Film Cu\09 The 3 R's.m4a","1600","Jack Johnson"
"Yourself or Someone Like You","8","3 A.M.","41487","0","D:\Music\Music\Matchbox Twenty\Yourself or Someone Like You\03 3 A.M..m4a","1600","Matchbox Twenty"
"The Wack Album","9","3-Way (The Golden Rule) [feat. Justin Timberlake & Lady Gaga]","41488","0","D:\Music\Music\The Lonely Island\The Wack Album\1-14 3-Way (The Golden Rule) [feat..m4a","2100","The Lonely Island"
"Compulsive Disclosure","10","2nd Street","41489","0","D:\Music\Music\Pinhead Gunpowder\Compulsive Disclosure\02 2nd Street.m4a","1600","Pinhead Gunpowder"
"Stop Drop and Roll","11","27th Ave Shuffle","41490","0","D:\Music\Music\Foxboro Hot Tubs\Stop Drop and Roll\10 27th Ave Shuffle.m4a","1600","Foxboro Hot Tubs"
"It's Not Me, It's You","12","22","41491","0","D:\Music\Music\Lily Allen\It's Not Me, It's You\04 22.m4a","1600","Lily Allen"
"Mas Borracho","13","21st Century Surf Odyssey","41492","0","D:\Music\Music\Infectious Grooves\Mas Borracho\09 21st Century Surf Odyssey.m4a","1600","Infectious Grooves"
"21st Century Breakdown","14","21st Century Breakdown","41493","0","D:\Music\Music\Green Day\21st Century Breakdown\02 21st Century Breakdown.m4a","1600","Green Day"
"Stadium Arcadium: Mars","15","21st Century","41494","0","D:\Music\Music\Red Hot Chili Peppers\Stadium Arcadium_ Mars\2-04 21st Century.m4a","1600","Red Hot Chili Peppers"
"White Noise","16","21st Century","41495","0","D:\Music\Music\The Living End\White Noise\09 21st Century.m4a","1600","The Living End"
"21st Century Breakdown","17","21 Guns","41496","0","D:\Music\Music\Green Day\21st Century Breakdown\16 21 Guns.m4a","1600","Green Day"
"Kerplunk!","18","2000 Light Years Away","41497","0","D:\Music\Music\Green Day\Kerplunk!\01 2000 Light Years Away.m4a","1600","Green Day"
"Slideshows","19","20 Good Reasons","41498","0","D:\Music\Music\Thirsty Merc\Slideshows\02 20 Good Reasons.m4a","1600","Thirsty Merc"
"Load","20","2 x 4","41499","0","D:\Music\Music\Metallica\Load\02 2 x 4.m4a","1600","Metallica"
"1,039/Smoothed Out Slappy Hours","21","16","41500","0","D:\Music\Music\Green Day\1,039_Smoothed Out Slappy Hours\07 16.m4a","1600","Green Day"
"When Your Heart Stops Beating","22","155","41501","0","D:\Music\Music\+44\When Your Heart Stops Beating\05 155.m4a","1600","+44"
"Use Your Illusion II","23","14 Years","41502","0","D:\Music\Music\Guns N' Roses\Use Your Illusion II\02 14 Years.m4a","2100","Guns N' Roses"
"1,039/Smoothed Out Slappy Hours","24","1000 Hours","41503","0","D:\Music\Music\Green Day\1,039_Smoothed Out Slappy Hours\15 1000 Hours.m4a","1600","Green Day"
"The Gang's All Here","25","10 Years of Service","41504","0","D:\Music\Music\Dropkick Murphys\The Gang's All Here\05 10 Years of Service.m4a","1600","Dropkick Murphys"
"The Real Thing","26","Zombie Eaters","41505","0","D:\Music\Music\Faith No More\The Real Thing\05 Zombie Eaters.m4a","1600","Faith No More"
"By The Way","27","The Zephyr Song","41506","0","D:\Music\Music\Red Hot Chili Peppers\By The Way\06 The Zephyr Song.m4a","1600","Red Hot Chili Peppers"
"Sunrise Over Sea","28","Zebra","41507","0","D:\Music\Music\John Butler Trio\Sunrise Over Sea\10 Zebra.m4a","2100","John Butler Trio"
"Rockin' The Suburbs","29","Zak And Sara","41508","0","D:\Music\Music\Ben Folds\Rockin' The Suburbs\02 Zak And Sara.m4a","1600","Ben Folds"
"Curtains","30","Your Warning","41509","0","D:\Music\Music\John Frusciante\Curtains\07 Your Warning.m4a","1600","John Frusciante"
"Greatest Hits 1970-2002","31","Your Song","41510","0","D:\Music\Music\Elton John\Greatest Hits 1970-2002\01 Your Song.m4a","2100","Elton John"
"The Unauthorized Biography of Reinhold Messner","32","Your Redneck Past","41511","0","D:\Music\Music\Ben Folds Five\The Unauthorized Biography of Reinhold M\07 Your Redneck Past.m4a","2100","Ben Folds Five"
"LOVE","33","Young London","41512","0","D:\Music\Music\Angels & Airwaves\LOVE\03 Young London.m4a","1600","Angels & Airwaves"
"Bat Out of Hell","34","You Took The Words Right Out Of My Mouth","41513","0","D:\Music\Music\Meat Loaf\Bat Out of Hell\02 You Took The Words Right Out Of M.m4a","1600","Meat Loaf"
"Songs For Silverman","35","You To Thank","41514","0","D:\Music\Music\Ben Folds\Songs For Silverman\02 You To Thank.m4a","1600","Ben Folds"
"Lullaby Renditions of ACDC","36","You Shook Me All Night Long","41515","0","D:\Music\Music\Rockabye Baby!\Lullaby Renditions of ACDC\04 You Shook Me All Night Long.m4a","1600","Rockabye Baby!"
"Sarsippius' Ark","37","You Pick Me Up (Just To Throw Me Down) ""Therapy""","41516","0","D:\Music\Music\Infectious Grooves\Sarsippius' Ark\17 You Pick Me Up (Just To Throw Me.m4a","1600","Infectious Grooves"
"Greatest Hits Volume II","38","You May Be Right","41517","0","D:\Music\Music\Billy Joel\Greatest Hits Volume II\04 You May Be Right.m4a","1600","Billy Joel"
"Nimrod","39","You Lied","41518","0","D:\Music\Music\Green Day\Nimrod\22 You Lied.m4a","2100","Green Day"
"Greatest Hits: The Ultimate Collection","40","You Give Love A Bad Name","41519","0","D:\Music\Music\Bon Jovi\Greatest Hits_ The Ultimate Collection\02 You Give Love A Bad Name.m4a","1600","Bon Jovi"
